id,name,artist,spotify_id,preview,img,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,acousticness_artist,danceability_artist,energy_artist,instrumentalness_artist,liveness_artist,speechiness_artist,valence_artist,popularity
1,Mood (feat. iann dior),24kGoldn,3tjFYV6RSFtuktYl3ZtYcq,https://p.scdn.co/mp3-preview/45cb08fdb67744ab7f1f172bb750e9c10415c37a?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273ff8c985ecb3b7c5f847be357,0.7,0.722,-3.558,0.0369,0.221,0,0.272,0.756,0.118269412,0.731588235,0.681235294,1.63E-06,0.16,0.123764706,0.566823529,4
2,Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,,https://i.scdn.co/image/ab67616d0000b2738863bc11d2aa12b54f5aeb36,0.514,0.73,-5.934,0.0598,0.00146,9.54E-05,0.0897,0.334,0.271439469,0.574808163,0.607873469,0.010594388,0.201727755,0.086811429,0.305189388,5
3,Dynamite,BTS,0t1kP63rueHleOhQkYSXFY,https://p.scdn.co/mp3-preview/a707728846c105f4d8552b8546c30b121bf517f0?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273755995e9ff2b1b0c753f5eb8,0.746,0.765,-4.41,0.0993,0.0112,0,0.0936,0.737,0.099350444,0.614798387,0.786451613,4.37E-05,0.202608065,0.128514919,0.533369355,5
4,ROCKSTAR (feat. Roddy Ricch),DaBaby,7ytR5pFWmSjzHJIeQkgog4,,https://i.scdn.co/image/ab67616d0000b27320e08c8cc23f404d723b5647,0.746,0.69,-7.956,0.164,0.247,0,0.101,0.497,0.093112929,0.829282828,0.657626263,2.30E-06,0.170425253,0.284725253,0.629373737,3
5,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,0PvFJmanyNQMseIFrU708S,,https://i.scdn.co/image/ab67616d0000b27377ada0863603903f57b34369,0.823,0.586,-6.606,0.2,0.114,0,0.193,0.347,0.19152,0.675142857,0.702685714,0.000194162,0.247668571,0.280102857,0.490228571,2
6,Laugh Now Cry Later (feat. Lil Durk),Drake,2SAqBLGA283SUiwJ3xOUVI,,https://i.scdn.co/image/ab67616d0000b27352c75ed37313b889447011ef,0.761,0.518,-8.871,0.134,0.244,3.47E-05,0.107,0.522,0.908675676,0.424243243,0.306054054,0.000270235,0.244551351,0.111381081,0.435297297,6
7,Hawai,Maluma,4uoR6qeWeuL4Qeu2qJzkuG,https://p.scdn.co/mp3-preview/07037d916c2e4ea28cfe9f7489364d8bd18ff15e?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b2734805528033046475b63f0fd5,0.787,0.728,-3.455,0.389,0.189,2.29E-05,0.0629,0.545,0.200861176,0.741490196,0.759686275,8.85E-05,0.156501961,0.120921569,0.707190196,4
8,Lemonade,Internet Money,02kDW379Yfd5PzW5A6vuGt,,https://i.scdn.co/image/ab67616d0000b273d46a8fffbe6c8630784f04da,0.799,0.66,-6.153,0.079,0.256,0,0.111,0.471,0.189,0.698,0.659666667,0,0.181,0.115333333,0.357,2
9,Savage Love (Laxed - Siren Beat),Jawsh 685,1xQ6trAsedVPCdbtDAmk0c,https://p.scdn.co/mp3-preview/d709526bcdffa6683f85c9255c2fd4e7871ba04c?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b273e3eb3b8feeafb746ecf659e7,0.767,0.481,-8.52,0.0803,0.234,0,0.269,0.761,0.116466667,0.746333333,0.573666667,0.461333333,0.301666667,0.1001,0.893,0
10,Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,https://p.scdn.co/mp3-preview/a860b3fe04f480539af5f08b3672bb2ecff71b6b?cid=50179b9e0a064ad09ffb159682151c22,https://i.scdn.co/image/ab67616d0000b27391e93c59bacfe819db9601eb,0.734,0.874,-3.158,0.0662,0.168,1.14E-05,0.0489,0.905,0.0946,0.697,0.921,1.90E-05,0.159,0.0424,0.722,0
